aX,aY,aZ,gX,gY,gZ
0.762,-0.243,1.680,-102.844,-50.293,175.781
0.978,-0.411,1.937,-94.421,-91.064,203.308
1.322,-0.644,2.171,-69.092,-144.836,221.008
1.638,-0.884,2.251,-30.396,-222.717,231.445
2.014,-1.144,1.953,18.982,-316.956,226.929
2.266,-1.366,1.495,68.970,-406.494,196.960
2.512,-1.606,0.991,111.938,-471.252,143.799
2.542,-1.779,0.443,138.062,-506.042,77.026
2.367,-1.631,-0.021,140.137,-514.343,1.221
2.101,-1.394,-0.331,133.240,-507.996,-71.594
1.904,-1.074,-0.675,125.671,-498.840,-124.634
1.643,-0.809,-1.117,115.173,-493.103,-149.475
1.319,-0.581,-1.770,109.985,-485.474,-151.794
1.019,-0.456,-2.559,123.962,-468.506,-153.137
0.807,-0.221,-3.435,151.978,-432.922,-163.086
0.577,-0.146,-4.000,184.814,-393.677,-169.617
0.337,-0.312,-4.000,184.570,-354.614,-169.556
0.151,-0.395,-4.000,123.901,-310.547,-165.710
-0.003,-0.257,-4.000,35.828,-263.245,-168.945
-0.104,-0.029,-4.000,-23.010,-213.135,-179.016
-0.264,0.195,-4.000,-27.527,-161.682,-186.707
-0.364,0.342,-4.000,9.338,-105.652,-188.904
-0.359,0.364,-4.000,61.646,-47.974,-186.035
-0.361,0.275,-4.000,102.539,2.502,-177.185
-0.352,0.186,-3.983,114.380,47.668,-167.114
-0.313,0.126,-3.672,102.417,87.463,-160.645
-0.286,0.076,-3.286,79.346,121.582,-153.931
-0.263,0.040,-2.911,55.054,153.137,-146.790
-0.228,0.014,-2.551,37.109,182.251,-142.578
-0.208,0.016,-2.226,24.719,209.900,-140.137
-0.199,0.030,-1.953,17.334,237.793,-137.146
-0.155,0.031,-1.726,15.991,266.479,-133.789
-0.077,0.029,-1.507,19.165,294.434,-127.747
-0.015,0.019,-1.300,22.949,317.932,-118.103
0.063,0.005,-1.147,23.987,333.008,-108.521
0.176,0.017,-1.030,22.034,338.257,-101.318
0.260,0.024,-0.940,14.771,335.754,-92.529
0.337,0.038,-0.865,0.183,331.543,-80.383
0.410,0.074,-0.760,-19.531,325.867,-68.054
0.463,0.118,-0.624,-40.771,318.726,-57.800
0.485,0.185,-0.519,-59.509,310.303,-50.232
0.508,0.260,-0.434,-70.435,300.415,-46.326
0.522,0.338,-0.337,-71.472,288.086,-43.701
0.549,0.426,-0.246,-63.477,274.048,-41.016
0.585,0.529,-0.179,-50.171,257.507,-36.865
0.610,0.619,-0.118,-32.959,237.610,-28.870
0.641,0.676,-0.027,-15.564,216.187,-14.954
0.693,0.713,0.101,-3.601,190.491,2.563
0.761,0.739,0.230,1.953,157.410,20.386
0.829,0.743,0.344,2.380,116.394,35.706
0.904,0.744,0.402,-1.831,71.472,50.720
0.958,0.745,0.430,-8.179,28.625,68.787
0.947,0.754,0.432,-11.841,-7.812,90.088
0.964,0.800,0.426,-6.714,-37.109,109.497
0.995,0.845,0.412,13.000,-66.284,124.451
0.990,0.885,0.400,47.119,-100.891,139.221
1.007,0.908,0.384,86.243,-141.113,154.358
1.050,0.907,0.340,123.718,-191.284,168.640
1.212,0.934,0.280,156.433,-253.113,184.082
1.340,0.948,0.182,178.223,-322.998,209.473
1.443,0.925,0.062,185.303,-391.479,244.812
1.575,0.868,-0.076,175.964,-451.599,284.363
1.709,0.692,-0.334,154.724,-498.169,327.148
1.634,0.395,-0.802,134.827,-516.846,363.892
1.478,-0.116,-1.214,122.620,-499.390,378.357
1.299,-0.681,-1.610,100.525,-442.627,365.356
1.176,-1.008,-1.785,68.848,-363.525,329.956
1.064,-1.209,-1.743,33.264,-294.800,285.400
0.930,-1.239,-1.717,-12.451,-246.155,251.770
0.879,-1.252,-1.720,-60.486,-216.858,237.488
0.887,-1.271,-1.808,-94.055,-199.829,240.356
0.929,-1.420,-1.923,-95.276,-193.359,253.723
0.969,-1.808,-1.960,-73.120,-190.796,264.343
1.010,-2.207,-2.004,-58.472,-181.335,260.986
0.904,-2.433,-1.989,-57.190,-169.617,250.000
0.820,-2.538,-1.882,-63.477,-158.936,229.370
0.786,-2.561,-1.782,-73.181,-149.475,200.684
0.768,-2.563,-1.672,-76.965,-147.034,168.335
0.702,-2.509,-1.650,-77.209,-148.071,136.353
0.550,-2.374,-1.783,-75.623,-137.878,106.934
0.411,-2.151,-1.925,-68.237,-108.337,78.918
0.330,-1.947,-1.927,-55.908,-67.749,52.246
0.265,-1.778,-1.823,-44.861,-28.198,27.832
0.260,-1.603,-1.683,-39.856,6.165,2.991
0.285,-1.433,-1.522,-40.283,32.532,-20.447
0.286,-1.245,-1.392,-45.837,50.049,-38.208
0.260,-1.038,-1.274,-53.833,60.547,-47.913
0.206,-0.860,-1.206,-58.899,65.918,-50.049
0.169,-0.741,-1.139,-57.312,68.359,-48.767
-0.371,-0.785,-1.476,79.712,24.658,-49.500
-0.374,-0.776,-1.509,82.336,35.889,-54.993
-0.387,-0.741,-1.550,80.322,50.598,-59.998
-0.416,-0.683,-1.581,77.026,66.650,-65.491
-0.453,-0.621,-1.638,73.730,83.618,-69.885
-0.470,-0.549,-1.703,69.885,104.736,-71.350
-0.472,-0.503,-1.661,66.223,130.249,-69.336
-0.480,-0.479,-1.557,61.951,155.273,-65.186
-0.508,-0.456,-1.467,57.678,176.270,-63.293
-0.506,-0.414,-1.389,52.185,194.946,-65.430
-0.504,-0.362,-1.289,44.983,212.524,-67.871
-0.509,-0.311,-1.206,39.368,229.980,-66.833
-0.472,-0.282,-1.113,36.499,248.291,-63.965
-0.373,-0.261,-0.945,31.677,265.686,-59.875
-0.321,-0.209,-0.762,21.667,276.611,-54.077
-0.299,-0.139,-0.607,11.292,280.151,-47.546
-0.234,-0.095,-0.433,4.272,281.494,-40.771
-0.178,-0.078,-0.264,0.305,279.907,-33.020
-0.119,-0.083,-0.104,-1.953,273.193,-25.452
-0.055,-0.084,0.053,-5.981,262.878,-18.860
0.075,-0.077,0.204,-14.893,249.756,-11.414
0.214,-0.069,0.428,-29.907,232.788,-0.488
0.268,-0.063,0.688,-49.988,208.862,18.127
0.365,-0.046,0.964,-71.106,181.885,39.246
0.504,-0.079,1.263,-85.144,151.917,62.134
0.647,-0.150,1.527,-90.820,117.432,88.806
0.822,-0.242,1.780,-86.670,79.651,117.493
1.022,-0.395,2.003,-70.007,37.109,144.409
1.212,-0.584,2.176,-41.199,-16.357,165.466
1.385,-0.762,2.220,-4.456,-87.708,175.171
1.663,-0.909,2.052,40.222,-169.922,169.617
2.007,-1.068,1.796,93.689,-262.268,152.466
2.240,-1.216,1.347,141.296,-356.812,129.761
2.292,-1.433,0.768,181.580,-434.631,97.046
2.347,-1.617,0.119,205.261,-475.220,41.382
2.398,-1.640,-0.320,207.947,-477.295,-31.250
2.245,-1.520,-0.586,192.139,-466.248,-97.229
1.995,-1.239,-0.767,164.795,-453.308,-142.212
1.710,-0.929,-1.048,135.803,-441.956,-167.603
1.480,-0.513,-1.682,118.713,-433.716,-182.068
1.102,-0.171,-2.408,129.517,-425.110,-190.247
0.783,0.101,-3.087,151.123,-396.912,-188.721
0.443,0.212,-3.590,161.560,-357.239,-175.110
0.157,0.207,-3.865,151.428,-325.073,-167.358
-0.015,0.225,-4.000,104.858,-297.119,-165.955
-0.165,0.330,-4.000,40.894,-278.015,-166.504
-0.324,0.479,-4.000,-5.798,-259.338,-166.138
-0.484,0.629,-4.000,-18.677,-228.821,-162.170
-0.590,0.676,-4.000,0.061,-183.167,-156.799
-0.599,0.635,-4.000,31.738,-125.610,-150.879
-0.574,0.556,-4.000,58.533,-64.941,-144.958
-0.562,0.506,-4.000,69.519,-10.315,-140.015
-0.545,0.481,-3.860,66.895,35.339,-135.803
-0.532,0.489,-3.593,59.082,74.463,-130.371
-0.511,0.455,-3.292,52.063,108.643,-121.582
-0.473,0.374,-3.002,45.166,141.846,-107.910
-0.421,0.260,-2.686,38.818,173.828,-95.032
-0.364,0.142,-2.367,31.982,203.735,-85.327
-0.306,0.059,-2.069,23.987,230.164,-78.918
-0.272,0.009,-1.817,17.029,252.136,-75.928
-0.228,-0.000,-1.611,11.047,272.583,-75.012
-0.169,0.030,-1.445,5.737,291.260,-74.097
-0.115,0.038,-1.265,1.221,306.824,-70.190
-0.032,0.052,-1.110,-3.174,319.214,-63.477
0.072,0.059,-0.978,-6.897,324.951,-57.739
0.156,0.064,-0.869,-11.780,323.364,-51.147
0.221,0.063,-0.771,-20.386,319.519,-41.687
0.302,0.094,-0.688,-30.640,314.514,-33.142
0.380,0.148,-0.598,-39.917,306.824,-25.696
0.458,0.199,-0.468,-47.913,297.058,-16.846
0.533,0.231,-0.306,-55.542,285.400,-6.165
0.576,0.244,-0.157,-62.012,268.738,4.700
0.603,0.265,-0.050,-67.017,246.948,15.381
0.650,0.302,0.016,-70.740,222.839,23.376
0.716,0.349,0.066,-69.763,196.899,29.053
0.774,0.389,0.138,-61.401,167.664,34.668
0.794,0.403,0.236,-47.974,133.667,40.833
0.839,0.420,0.340,-34.912,97.839,46.265
0.897,0.445,0.415,-25.635,59.082,50.903
0.935,0.471,0.450,-17.456,20.020,56.824
0.974,0.508,0.448,-8.118,-15.015,64.514
1.001,0.587,0.417,3.601,-46.692,74.951
0.983,0.621,0.411,20.264,-75.012,87.830
0.974,0.673,0.419,40.161,-100.830,98.572
0.970,0.735,0.412,62.927,-129.456,111.328
0.975,0.794,0.377,87.036,-164.307,127.930
0.966,0.831,0.323,110.474,-204.773,151.306
0.949,0.818,0.272,129.395,-247.070,176.697
0.966,0.792,0.194,141.113,-289.429,200.562
1.012,0.739,0.066,145.935,-331.177,221.436
0.994,0.698,-0.182,144.348,-367.004,239.807
1.006,0.637,-0.434,140.503,-386.841,257.446
1.062,0.449,-0.653,135.559,-388.062,279.297
1.062,0.206,-0.867,126.953,-375.000,299.988
0.986,-0.100,-1.059,119.507,-355.103,309.021
0.880,-0.426,-1.339,109.985,-329.102,299.377
0.808,-0.683,-1.601,94.482,-297.852,273.315
0.769,-0.877,-1.806,66.162,-272.827,248.413
0.732,-1.081,-2.025,26.184,-252.075,235.596
0.760,-1.264,-2.262,-15.320,-233.765,230.774
0.815,-1.525,-2.394,-47.791,-216.675,231.567
0.852,-1.844,-2.449,-65.430,-196.655,232.361
0.880,-2.144,-2.461,-65.674,-172.974,221.619
0.879,-2.387,-2.418,-56.702,-151.062,197.815
0.810,-2.560,-2.324,-51.697,-132.690,167.969
0.715,-2.626,-2.189,-57.068,-116.882,135.315
0.621,-2.529,-2.052,-70.374,-102.478,101.196
0.493,-2.174,-1.982,-80.627,-89.294,72.266
0.252,-2.004,-1.823,-76.904,-72.510,53.894
0.296,-1.841,-1.844,-74.951,-49.316,25.513
0.309,-1.538,-1.855,-64.209,-27.222,5.920
0.163,-1.351,-1.717,-43.457,-15.442,1.648
0.147,-1.247,-1.624,-32.837,-1.526,-3.174
0.134,-1.155,-1.530,-30.151,9.644,-12.695
0.102,-1.024,-1.481,-32.654,17.212,-22.705
0.059,-0.885,-1.422,-37.109,24.109,-31.311
-0.007,-0.757,-1.366,-39.429,31.250,-37.109
-0.018,-0.639,-1.311,-40.710,40.527,-42.480
-0.026,-0.577,-1.266,-39.490,49.377,-46.448
-0.397,-0.660,-1.520,43.640,65.125,-57.373
-0.428,-0.621,-1.587,45.837,75.928,-58.716
-0.445,-0.597,-1.611,46.631,91.370,-59.998
-0.448,-0.576,-1.574,43.457,110.535,-58.716
-0.457,-0.567,-1.500,37.292,128.113,-56.824
-0.449,-0.567,-1.436,31.494,142.761,-57.495
-0.437,-0.544,-1.364,24.597,154.907,-59.509
-0.462,-0.488,-1.344,15.869,164.917,-60.059
-0.487,-0.445,-1.331,8.301,179.260,-57.129
-0.451,-0.444,-1.237,1.831,200.317,-52.002
-0.410,-0.460,-1.125,-3.601,223.389,-47.668
-0.341,-0.462,-0.972,-4.089,242.737,-49.377
-0.312,-0.424,-0.835,-2.014,254.517,-54.993
-0.301,-0.353,-0.759,-0.061,261.230,-60.669
-0.285,-0.297,-0.668,1.831,267.334,-62.805
-0.232,-0.262,-0.527,3.052,273.010,-60.852
-0.187,-0.217,-0.384,-0.244,275.024,-55.908
-0.161,-0.172,-0.242,-5.981,271.912,-49.377
-0.101,-0.155,-0.085,-13.672,264.771,-41.931
-0.041,-0.132,0.070,-23.254,250.732,-33.752
-0.002,-0.108,0.196,-34.485,229.736,-23.743
0.038,-0.099,0.304,-45.410,204.773,-11.719
0.122,-0.107,0.410,-54.321,178.162,1.404
0.230,-0.153,0.534,-61.096,151.917,17.761
0.346,-0.214,0.690,-67.444,126.953,36.438
0.491,-0.290,0.908,-75.012,101.501,55.969
0.672,-0.368,1.158,-87.158,77.087,77.576
0.857,-0.441,1.411,-101.440,53.650,99.670
0.993,-0.504,1.643,-107.422,27.344,118.286
1.132,-0.597,1.849,-95.825,-5.676,128.906
1.301,-0.718,1.958,-68.665,-52.185,129.272
1.498,-0.795,1.978,-29.602,-113.586,118.408
1.727,-0.841,1.891,18.616,-187.744,101.929
1.988,-0.883,1.704,73.975,-274.048,89.478
2.198,-0.962,1.417,126.587,-363.892,83.069
2.303,-1.090,1.039,167.664,-444.031,71.716
2.383,-1.191,0.564,192.749,-506.836,42.603
2.328,-1.211,0.029,201.172,-542.053,-7.202
2.222,-1.133,-0.572,197.205,-544.067,-70.007
1.977,-0.842,-1.208,190.735,-521.240,-131.104
1.624,-0.610,-1.759,190.247,-486.694,-173.462
1.250,-0.421,-2.334,187.073,-446.838,-194.397
0.914,-0.168,-3.017,176.758,-415.955,-207.092
0.585,0.152,-3.739,168.762,-392.090,-212.830
0.178,0.368,-4.000,160.400,-374.146,-207.520
-0.155,0.565,-4.000,135.071,-348.816,-203.918
-0.470,0.614,-4.000,84.656,-309.021,-189.697
-0.654,0.653,-4.000,23.254,-256.592,-175.232
-0.758,0.709,-4.000,-20.691,-200.439,-167.053
-0.846,0.729,-4.000,-28.809,-144.897,-159.424
-0.862,0.738,-4.000,-10.071,-87.402,-153.259
-0.806,0.646,-4.000,21.362,-32.166,-147.827
-0.735,0.509,-4.000,41.870,17.212,-137.024
-0.672,0.373,-3.721,42.847,60.669,-125.183
-0.608,0.267,-3.308,32.959,97.473,-115.967
-0.540,0.166,-2.890,21.240,129.211,-107.544
-0.480,0.049,-2.494,12.024,158.447,-98.511
-0.420,-0.047,-2.138,5.432,185.974,-91.553
-0.365,-0.120,-1.836,1.770,209.717,-88.318
-0.316,-0.176,-1.584,-0.488,229.431,-85.938
-0.286,-0.190,-1.418,-0.122,246.704,-83.740
-0.235,-0.167,-1.318,2.319,264.343,-83.191
-0.187,-0.141,-1.226,7.874,281.799,-81.604
-0.131,-0.122,-1.121,13.062,297.913,-77.454
-0.036,-0.109,-0.998,14.038,309.753,-73.242
0.040,-0.105,-0.850,9.888,310.547,-69.702
0.089,-0.079,-0.724,-1.709,300.842,-64.331
0.119,-0.032,-0.629,-19.043,286.499,-56.885
0.146,0.034,-0.585,-38.574,271.973,-47.668
0.191,0.108,-0.575,-53.772,260.925,-36.987
0.259,0.153,-0.528,-60.181,254.211,-25.879
0.326,0.162,-0.437,-63.049,251.709,-14.465
0.399,0.178,-0.316,-67.139,247.681,-5.493
0.459,0.211,-0.200,-71.899,238.098,0.549
0.497,0.269,-0.090,-72.876,222.229,6.531
0.543,0.348,0.024,-67.078,201.111,12.085
0.601,0.421,0.151,-55.115,174.927,17.334
0.666,0.460,0.279,-40.649,143.066,23.132
0.752,0.465,0.403,-28.992,108.154,31.677
0.837,0.471,0.500,-25.513,72.388,43.213
0.924,0.506,0.543,-28.564,35.706,55.481
0.989,0.561,0.551,-30.518,-2.197,67.139
1.007,0.638,0.541,-26.733,-39.246,77.698
1.014,0.720,0.536,-13.123,-73.608,87.402
1.041,0.836,0.533,11.047,-106.812,96.558
1.065,0.958,0.497,44.678,-142.273,107.544
1.108,1.061,0.447,88.013,-186.035,122.009
1.069,1.171,0.323,132.324,-239.929,143.677
1.019,1.361,0.048,171.631,-296.326,171.387
1.002,1.505,-0.276,206.970,-341.125,205.994
0.912,1.466,-0.587,233.032,-359.558,256.042
1.058,1.170,-0.633,234.802,-367.432,311.951
1.199,0.831,-0.660,202.698,-369.019,359.253
1.308,0.444,-0.745,155.640,-375.854,386.230
1.367,0.031,-1.054,116.333,-382.141,384.216
1.276,-0.263,-1.516,95.276,-382.080,358.154
1.087,-0.516,-1.948,82.947,-364.807,327.576
0.999,-0.822,-2.174,65.857,-321.655,315.857
1.034,-1.222,-2.234,43.030,-268.433,324.707
1.139,-1.666,-2.246,24.353,-228.149,336.914
1.238,-2.100,-2.275,13.245,-203.674,338.257
1.340,-2.421,-2.315,8.545,-186.646,321.411
1.332,-2.621,-2.261,7.446,-181.702,290.527
1.246,-2.671,-2.232,-1.709,-180.664,257.080
1.092,-2.604,-2.207,-19.348,-178.833,227.966
1.033,-2.530,-2.103,-34.912,-174.072,198.120
0.979,-2.582,-1.978,-45.349,-174.011,164.612
0.897,-2.534,-1.958,-56.152,-178.650,123.474
0.580,-2.283,-2.004,-65.063,-165.161,85.754
0.357,-1.950,-2.116,-70.251,-123.047,52.002
0.275,-1.595,-2.106,-64.941,-65.308,22.522
0.191,-1.343,-1.952,-46.021,-17.151,1.770
0.178,-1.198,-1.786,-30.090,20.874,-15.808
0.217,-1.068,-1.619,-25.085,48.462,-31.799
0.206,-0.948,-1.477,-29.175,63.293,-43.335
0.167,-0.803,-1.374,-37.720,68.665,-50.659
0.101,-0.657,-1.284,-44.983,67.627,-54.260
0.038,-0.535,-1.211,-49.316,66.406,-55.420
-0.005,-0.459,-1.140,-49.133,66.528,-55.664
-0.349,-0.707,-1.585,53.772,43.640,-43.884
-0.365,-0.735,-1.669,52.002,58.228,-47.913
-0.361,-0.730,-1.677,48.035,78.308,-56.580
-0.360,-0.697,-1.627,39.673,100.708,-68.237
-0.354,-0.620,-1.558,28.015,122.070,-77.820
-0.365,-0.535,-1.447,17.761,138.062,-83.069
-0.393,-0.479,-1.326,9.827,148.315,-83.557
-0.436,-0.441,-1.232,2.075,154.968,-80.200
-0.469,-0.397,-1.160,-3.967,160.461,-75.562
-0.501,-0.369,-1.101,-8.118,166.687,-71.655
-0.486,-0.358,-1.069,-11.292,178.101,-68.909
-0.441,-0.348,-0.996,-10.803,193.726,-67.017
-0.416,-0.319,-0.900,-9.155,209.106,-64.453
-0.420,-0.302,-0.795,-6.409,223.389,-61.279
-0.402,-0.279,-0.690,-0.916,234.985,-57.434
-0.361,-0.262,-0.557,1.709,243.042,-52.429
-0.319,-0.248,-0.420,-1.587,246.826,-46.570
-0.267,-0.227,-0.285,-7.385,246.948,-40.894
-0.214,-0.177,-0.178,-16.113,242.920,-34.851
-0.177,-0.148,-0.052,-27.161,236.145,-26.001
-0.126,-0.135,0.080,-37.537,228.088,-16.418
-0.060,-0.134,0.220,-46.082,218.018,-7.141
0.019,-0.138,0.404,-55.908,205.200,1.099
0.114,-0.130,0.641,-70.068,189.758,11.414
0.233,-0.093,0.924,-88.745,170.288,26.184
0.341,-0.049,1.242,-109.253,148.743,47.058
0.452,0.005,1.574,-124.329,125.671,74.890
0.543,0.003,1.865,-122.192,98.022,105.347
0.675,-0.063,2.134,-96.802,62.805,134.277
0.917,-0.191,2.376,-47.119,18.127,157.837
1.254,-0.367,2.536,19.348,-47.302,178.467
1.651,-0.608,2.503,89.783,-139.038,195.435
2.116,-0.984,2.180,151.489,-246.826,197.510
2.533,-1.359,1.609,195.312,-351.562,170.227
2.850,-1.611,0.890,217.896,-437.256,112.244
3.028,-1.658,0.248,223.938,-489.380,30.579
3.071,-1.528,-0.194,219.849,-505.432,-52.979
2.896,-1.361,-0.654,209.656,-504.456,-120.605
2.640,-1.043,-1.240,201.538,-496.887,-179.016
2.342,-0.713,-1.792,197.571,-479.614,-226.440
1.940,-0.321,-2.537,186.523,-458.496,-248.108
1.402,0.031,-3.323,178.040,-440.552,-253.052
0.895,0.332,-3.995,168.457,-407.349,-246.216
0.503,0.485,-4.000,150.879,-362.671,-226.807
0.200,0.532,-4.000,117.737,-323.792,-205.444
-0.094,0.619,-4.000,60.547,-285.034,-188.049
-0.381,0.678,-4.000,5.371,-245.850,-179.871
-0.529,0.786,-4.000,-28.503,-198.120,-181.946
-0.686,0.834,-4.000,-28.625,-144.226,-177.002
-0.800,0.774,-4.000,-9.766,-85.266,-166.687
-0.752,0.684,-4.000,8.850,-24.597,-161.072
-0.698,0.651,-4.000,18.555,27.832,-153.931
-0.705,0.567,-3.640,20.264,69.092,-143.799
-0.648,0.495,-3.351,13.184,105.591,-134.399
-0.548,0.412,-2.960,5.859,141.296,-123.169
-0.468,0.263,-2.564,1.221,167.603,-107.117
-0.380,0.117,-2.195,-2.808,189.819,-94.849
-0.341,0.016,-1.893,-7.507,208.984,-86.426
-0.286,-0.030,-1.661,-11.902,228.394,-83.008
-0.238,-0.038,-1.503,-12.634,247.009,-83.191
-0.190,-0.038,-1.367,-10.376,264.648,-82.825
-0.151,-0.045,-1.253,-8.972,281.555,-79.468
-0.066,-0.050,-1.142,-9.521,295.776,-77.148
0.021,-0.060,-1.003,-13.550,304.810,-73.975
0.088,-0.053,-0.865,-22.217,309.082,-66.711
0.144,-0.036,-0.730,-30.518,305.786,-59.326
0.189,-0.001,-0.598,-38.208,295.044,-53.528
0.208,0.042,-0.485,-47.119,280.396,-46.875
0.196,0.088,-0.395,-55.969,265.381,-38.086
0.212,0.150,-0.344,-64.331,252.380,-29.602
0.260,0.200,-0.291,-68.665,242.126,-22.339
0.324,0.219,-0.217,-68.909,233.276,-14.709
0.400,0.234,-0.138,-67.810,222.717,-6.775
0.486,0.271,-0.072,-66.406,208.008,0.610
0.548,0.311,0.001,-61.340,188.232,8.484
0.580,0.336,0.115,-50.598,161.743,16.785
0.591,0.360,0.233,-39.246,130.127,23.865
0.631,0.425,0.333,-30.334,96.008,30.640
0.686,0.517,0.408,-22.278,59.326,39.734
0.777,0.615,0.465,-12.451,21.484,52.856
0.884,0.715,0.515,0.671,-15.930,69.214
1.021,0.833,0.594,20.203,-53.345,87.585
1.124,0.958,0.680,49.255,-95.093,112.000
1.214,1.018,0.683,84.778,-145.325,141.113
1.329,1.145,0.544,119.019,-201.111,168.579
1.398,1.249,0.369,157.349,-254.822,197.632
1.355,1.327,0.084,199.707,-302.551,231.873
1.258,1.321,-0.276,232.117,-334.900,271.667
1.298,1.158,-0.445,245.667,-343.811,311.401
1.378,0.850,-0.502,234.863,-341.736,348.633
1.273,0.524,-0.690,207.031,-341.187,366.455
1.209,0.316,-0.917,179.565,-338.318,353.455
1.144,0.082,-1.131,158.386,-330.811,323.853
1.071,-0.144,-1.323,135.803,-316.345,295.105
1.001,-0.312,-1.494,104.431,-299.683,277.344
0.994,-0.418,-1.737,67.322,-286.194,270.874
0.985,-0.539,-2.052,39.001,-272.949,275.818
1.093,-0.854,-2.268,24.231,-262.634,282.898
1.208,-1.239,-2.406,13.733,-240.662,287.170
1.310,-1.657,-2.467,1.709,-218.140,283.752
1.292,-2.065,-2.465,-12.512,-197.815,265.564
1.189,-2.354,-2.456,-33.691,-175.354,234.070
1.030,-2.495,-2.348,-58.105,-152.893,193.420
0.897,-2.498,-2.148,-82.397,-132.385,150.635
0.789,-2.407,-1.934,-100.342,-118.286,110.718
0.642,-2.224,-1.810,-108.521,-107.971,79.285
0.445,-1.999,-1.781,-105.408,-88.013,63.110
0.324,-1.823,-1.770,-89.417,-54.688,55.908
0.310,-1.760,-1.699,-65.857,-22.156,47.180
0.280,-1.738,-1.619,-48.523,-0.427,35.339
0.232,-1.663,-1.565,-48.584,14.709,20.752
0.162,-1.517,-1.515,-59.387,25.940,4.883
0.089,-1.345,-1.474,-70.618,36.987,-10.986
0.035,-1.170,-1.416,-77.087,49.072,-25.574
0.002,-1.035,-1.334,-78.369,60.669,-36.072
-0.004,-0.933,-1.247,-75.928,69.946,-43.701
-0.011,-0.874,-1.139,-71.716,74.097,-49.683
-0.034,-0.831,-1.026,-68.420,72.754,-54.321
-0.059,-0.812,-0.948,-66.711,68.909,-59.204
0.881,-0.312,2.100,-146.362,79.102,158.203
1.046,-0.486,2.358,-111.633,23.987,175.903
1.273,-0.703,2.521,-52.368,-52.551,180.359
1.568,-0.872,2.463,15.259,-153.015,171.021
1.922,-1.045,2.084,81.970,-270.081,151.917
2.211,-1.263,1.548,135.681,-377.930,123.901
2.386,-1.385,0.957,163.940,-459.473,80.505
2.464,-1.350,0.462,170.837,-510.986,22.949
2.448,-1.197,0.058,169.495,-537.048,-33.752
2.320,-1.069,-0.262,169.250,-543.823,-78.796
2.063,-0.915,-0.668,172.852,-534.607,-114.685
1.912,-0.743,-1.100,180.542,-517.273,-151.062
1.747,-0.580,-1.534,179.321,-496.338,-177.490
1.495,-0.470,-1.980,164.795,-470.886,-186.340
1.222,-0.231,-2.559,144.409,-440.125,-193.481
1.054,0.110,-3.172,138.367,-406.006,-205.750
0.812,0.172,-3.600,140.076,-375.366,-203.613
0.591,0.211,-3.897,112.366,-339.417,-196.594
0.389,0.311,-4.000,58.105,-306.824,-193.848
0.153,0.505,-4.000,1.282,-276.917,-191.467
0.047,0.791,-4.000,-30.640,-242.126,-192.932
-0.113,0.937,-4.000,-20.630,-206.055,-187.439
-0.278,0.889,-4.000,7.019,-160.278,-169.739
-0.330,0.762,-4.000,26.855,-102.966,-150.574
-0.374,0.658,-4.000,34.729,-46.204,-136.597
-0.409,0.630,-4.000,35.095,3.296,-126.953
-0.440,0.603,-3.911,36.987,46.021,-118.652
-0.402,0.517,-3.635,42.664,84.595,-108.459
-0.387,0.361,-3.244,47.546,118.225,-94.971
-0.377,0.220,-2.961,44.556,153.503,-81.421
-0.326,0.115,-2.641,39.490,187.744,-74.646
-0.320,0.040,-2.349,36.804,217.896,-67.932
-0.260,-0.024,-2.083,35.034,247.009,-62.378
-0.221,-0.106,-1.811,33.569,271.545,-56.885
-0.169,-0.156,-1.585,28.809,291.443,-52.551
-0.132,-0.159,-1.455,21.790,306.824,-51.514
-0.068,-0.128,-1.352,14.832,319.641,-53.223
0.025,-0.082,-1.218,7.446,331.116,-55.054
0.142,-0.041,-1.072,-0.977,338.989,-55.847
0.267,0.010,-0.934,-9.644,340.332,-55.176
0.362,0.046,-0.798,-19.653,336.487,-48.218
0.401,0.048,-0.665,-31.311,332.947,-34.668
0.503,0.045,-0.508,-44.495,330.994,-21.851
0.607,0.059,-0.340,-57.190,324.646,-13.062
0.653,0.091,-0.211,-66.895,310.608,-7.874
0.681,0.169,-0.095,-70.374,289.612,-5.310
0.686,0.226,0.034,-67.078,262.146,-3.174
0.690,0.295,0.134,-59.875,231.628,0.610
0.709,0.378,0.179,-49.011,198.792,7.751
0.763,0.464,0.209,-33.142,164.429,18.127
0.840,0.525,0.276,-10.986,128.784,31.372
0.882,0.541,0.370,12.878,86.304,45.105
0.903,0.548,0.420,31.433,37.781,57.495
0.967,0.550,0.388,43.884,-10.498,68.481
1.034,0.560,0.348,55.237,-59.326,76.050
1.087,0.620,0.317,67.749,-105.713,83.008
1.079,0.674,0.322,86.426,-152.100,93.994
1.031,0.753,0.298,108.154,-201.416,111.694
0.994,0.812,0.246,125.549,-249.207,133.789
0.977,0.900,0.141,135.315,-291.199,159.912
0.918,0.976,-0.041,138.794,-325.378,193.298
0.820,0.988,-0.237,143.066,-344.177,232.544
0.830,0.940,-0.360,150.452,-346.802,268.921
0.942,0.813,-0.389,150.696,-343.750,299.927
1.005,0.697,-0.395,137.390,-345.947,330.505
1.053,0.625,-0.413,114.075,-355.835,358.032
1.094,0.483,-0.470,93.689,-369.446,377.441
1.026,0.202,-0.729,85.815,-378.967,386.169
0.918,-0.161,-1.111,86.609,-373.718,378.662
0.903,-0.580,-1.431,76.721,-348.999,357.361
