aX,aY,aZ,gX,gY,gZ
-0.394,-0.645,0.837,18.250,5.188,-20.081
-0.401,-0.645,0.719,0.244,-0.671,-15.381
0.344,-1.428,-1.153,-32.593,-101.379,149.170
0.494,-1.518,-1.176,-40.161,-83.313,135.437
0.465,-1.676,-1.189,-31.738,-70.618,122.009
0.419,-1.756,-1.262,-18.982,-73.853,111.694
0.364,-1.776,-1.373,-12.756,-75.623,95.337
0.267,-1.746,-1.451,-13.733,-77.698,76.111
0.094,-1.664,-1.552,-19.958,-76.233,57.373
-0.594,-1.728,-1.806,-21.912,-75.500,42.053
-2.087,-2.161,-2.554,-14.221,-94.788,39.795
-1.212,-1.838,-2.698,4.028,-121.033,45.959
-0.073,-1.751,-2.250,20.203,-53.345,24.048
0.238,-1.614,-1.804,33.569,33.264,-3.967
0.225,-1.275,-1.467,43.030,63.171,-35.706
0.169,-0.834,-1.388,40.344,52.673,-67.200
0.111,-0.403,-1.538,27.039,16.907,-80.322
0.061,-0.075,-1.839,19.714,-21.484,-76.538
0.056,0.103,-2.081,29.419,-38.940,-64.087
0.030,0.131,-2.226,52.307,-31.799,-49.622
0.063,0.100,-2.299,74.219,-6.897,-37.720
0.130,0.061,-2.304,84.412,20.264,-31.799
0.189,0.105,-2.290,80.688,39.673,-31.433
0.200,0.244,-2.341,70.496,51.086,-33.447
0.151,0.392,-2.440,67.627,59.631,-33.081
0.130,0.497,-2.510,74.646,74.402,-25.818
0.122,0.541,-2.531,85.266,95.703,-12.512
0.119,0.527,-2.508,95.032,115.906,1.038
0.105,0.493,-2.515,98.022,130.554,13.794
0.060,0.453,-2.614,95.032,141.541,24.170
0.062,0.431,-2.732,90.759,157.349,30.518
0.092,0.448,-2.877,89.233,182.190,33.264
0.127,0.476,-2.974,91.003,215.332,34.912
0.185,0.478,-2.885,88.623,253.174,40.710
0.254,0.458,-2.643,76.294,292.969,53.589
0.310,0.402,-2.291,58.411,326.477,67.749
0.372,0.301,-1.875,36.926,348.755,77.698
0.378,0.188,-1.486,10.742,359.436,82.214
0.364,0.084,-1.143,-17.517,362.427,79.529
0.402,-0.027,-0.774,-44.861,362.854,72.510
0.440,-0.232,-0.321,-66.772,359.924,65.063
0.530,-0.321,0.049,-81.909,351.196,54.871
0.633,-0.298,0.315,-78.979,343.323,57.373
0.724,-0.402,0.587,-50.964,334.534,73.425
0.824,-0.716,0.900,-13.367,310.425,85.693
1.018,-1.106,1.214,9.277,254.028,77.393
0.999,-1.145,1.300,7.812,170.776,62.866
0.891,-1.122,1.285,2.014,90.942,54.749
0.819,-1.008,1.131,2.014,30.029,51.575
0.774,-0.902,0.922,10.498,-9.155,55.725
0.879,-0.855,0.666,25.574,-36.560,54.321
0.960,-0.846,0.461,52.673,-64.880,43.823
0.846,-0.777,0.196,87.952,-93.140,29.785
0.706,-0.670,-0.111,120.117,-108.154,13.794
0.633,-0.543,-0.416,141.479,-111.023,-2.747
0.532,-0.427,-0.679,150.024,-108.643,-13.367
0.414,-0.320,-0.883,145.569,-102.661,-18.921
0.316,-0.226,-1.009,129.333,-93.933,-22.827
0.233,-0.124,-1.093,106.201,-86.487,-26.611
0.159,-0.028,-1.160,78.979,-82.581,-30.212
0.065,0.049,-1.226,49.561,-79.651,-30.029
-0.009,0.087,-1.264,22.644,-73.059,-26.367
-0.061,0.092,-1.266,2.380,-63.293,-22.339
-0.109,0.074,-1.246,-11.230,-53.833,-20.447
-0.162,0.055,-1.201,-21.729,-46.082,-19.348
-0.200,0.033,-1.156,-28.015,-37.903,-18.127
-0.246,0.019,-1.120,-28.137,-30.151,-17.944
-0.276,0.025,-1.089,-25.513,-22.217,-17.944
-0.293,0.016,-1.056,-24.353,-15.381,-16.602
-0.306,-0.005,-1.026,-26.855,-12.024,-14.038
-0.317,-0.037,-1.022,-32.837,-12.085,-11.108
-0.343,-0.055,-1.052,-41.199,-14.832,-9.338
-0.371,-0.057,-1.089,-48.462,-16.602,-8.911
-0.376,-0.072,-1.098,-50.110,-15.076,-8.545
-0.368,-0.097,-1.087,-45.837,-11.963,-7.812
-0.366,-0.118,-1.079,-39.124,-10.254,-6.897
-0.379,-0.129,-1.081,-31.921,-9.705,-6.226
-0.386,-0.150,-1.079,-23.743,-8.362,-6.531
-0.392,-0.176,-1.058,-16.113,-7.019,-8.118
-0.400,-0.185,-1.036,-12.390,-6.958,-9.583
-0.405,-0.183,-1.011,-13.245,-9.888,-10.742
-0.402,-0.171,-0.997,-16.418,-13.672,-12.207
-0.384,-0.160,-0.997,-19.165,-17.883,-13.794
-0.360,-0.153,-1.008,-23.010,-23.560,-13.916
-0.343,-0.161,-1.016,-27.039,-28.320,-12.512
-0.333,-0.181,-1.021,-31.250,-31.677,-10.742
-0.297,-0.240,-1.039,-36.804,-33.203,-9.583
-0.303,-0.198,-1.044,-37.781,-33.630,-9.766
-0.323,-0.210,-1.045,-38.696,-31.067,-8.057
-0.333,-0.239,-1.038,-36.743,-23.804,-10.071
-0.310,-0.252,-1.013,-27.344,-14.526,-14.038
-0.280,-0.270,-0.994,-16.907,-5.432,-16.541
-0.240,-0.274,-0.978,-8.911,0.000,-18.188
-0.214,-0.279,-0.961,-5.127,1.343,-19.470
-0.198,-0.285,-0.945,-7.019,-0.244,-19.714
-0.162,-0.292,-0.939,-13.367,-2.319,-20.264
-0.128,-0.290,-0.945,-22.461,-4.700,-21.179
-0.121,-0.296,-0.961,-33.997,-8.057,-21.606
-0.123,-0.322,-0.970,-44.861,-8.423,-21.912
-0.135,-0.341,-0.969,-53.040,-6.165,-23.621
-0.139,-0.336,-0.962,-58.533,-2.747,-26.917
-0.164,-0.342,-0.935,-60.425,2.441,-30.029
-0.184,-0.359,-0.877,-59.631,8.606,-32.166
-0.159,-0.385,-0.817,-59.021,14.282,-34.119
-0.131,-0.398,-0.747,-60.669,16.052,-33.875
-0.130,-0.393,-0.682,-64.453,13.428,-30.701
-0.140,-0.382,-0.680,-69.336,9.033,-28.809
-0.136,-0.435,-0.671,-71.655,6.104,-26.855
-0.149,-0.460,-0.654,-74.219,6.775,-26.672
-0.141,-0.544,-0.610,-78.186,7.812,-30.090
-0.164,-0.563,-0.607,-81.665,5.371,-33.813
-0.170,-0.546,-0.641,-81.909,1.526,-40.161
-0.204,-0.546,-0.689,-79.712,-0.732,-48.218
-0.238,-0.551,-0.699,-76.172,-2.563,-53.711
-0.271,-0.562,-0.675,-76.233,-5.432,-54.504
-0.305,-0.567,-0.624,-78.674,-10.254,-55.603
-0.336,-0.579,-0.588,-78.857,-16.296,-58.777
-0.374,-0.567,-0.576,-79.651,-24.414,-62.256
-0.403,-0.554,-0.575,-81.116,-32.166,-66.467
